,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Gët Busy,Gët Busy,Yeat,2021-09-01,157779,66,0.66,0.0372,0.66,0.58,0.0,0.116,-9.921,0.0393,139.902,4
1,Just for me,Just for me,PinkPantheress,2021-08-13,115800,83,0.778,0.705,0.778,0.628,0.00193,0.299,-7.844,0.0618,133.048,4
2,Good Ones,Good Ones,Charli XCX,2021-09-02,136614,78,0.764,0.072,0.764,0.672,3.32e-06,0.0806,-5.947,0.0293,129.049,4
3,family ties (with Kendrick Lamar),family ties (with Kendrick Lamar),Baby Keem,2021-08-27,252069,86,0.711,0.00575,0.711,0.611,0.0,0.231,-5.453,0.329,134.14,4
4,"CHOPPA SHOOT THE LOUDEST (with Chief Keef, feat.Trippie Redd)",We Love You Tecca 2,Lil Tecca,2021-08-27,241655,72,0.585,0.0644,0.585,0.765,0.0,0.148,-5.575,0.0589,145.155,4
5,Paralyzed,Paralyzed,Sueco,2021-08-13,162805,80,0.587,0.00126,0.587,0.847,2.29e-06,0.111,-5.273,0.0594,149.954,4
6,Act Up,What Box?,Terry Presume,2021-07-29,184826,54,0.746,0.296,0.746,0.759,0.0,0.105,-6.379,0.106,102.012,4
7,GYALIS,GYALIS,Capella Grey,2021-01-04,105299,25,0.688,0.39,0.688,0.591,0.0,0.225,-7.463,0.4,96.229,4
8,One Night,One Night,Griff,2021-08-26,167280,70,0.694,0.0703,0.694,0.822,1.18e-06,0.0977,-5.266,0.233,107.104,4
9,Sharing Locations (feat. Lil Baby & Lil Durk),Sharing Locations (feat. Lil Baby & Lil Durk),Meek Mill,2021-08-27,161052,80,0.681,0.00383,0.681,0.63,0.0,0.139,-5.585,0.0385,151.951,4
10,Moon,Donda,Kanye West,2021-08-29,156091,88,0.319,0.898,0.319,0.236,1.62e-05,0.272,-9.644,0.0318,162.351,4
11,Ease My Mind (Come Over),Ease My Mind (Come Over),Nija,2021-08-19,166293,53,0.694,0.0351,0.694,0.536,0.0,0.168,-8.674,0.045,140.205,4
12,Woah,Woah,TOBi,2021-08-16,175765,50,0.74,0.379,0.74,0.648,0.000134,0.231,-7.571,0.3,62.056,4
13,Verdansk,We're All Alone In This Together,Dave,2021-07-22,182285,75,0.961,0.28,0.961,0.502,0.0,0.145,-8.605,0.312,117.078,4
14,edamame (feat. Rich Brian),edamame (feat. Rich Brian),bbno$,2021-07-24,133706,85,0.815,0.023,0.815,0.848,0.000162,0.0265,-4.704,0.115,106.032,4
15,taxi,taxi,Alex Porat,2021-08-25,197836,48,0.653,0.234,0.653,0.788,7.98e-05,0.191,-4.79,0.0339,140.042,4
16,Changes,Silent Battles (Deluxe),Joony,2021-07-18,121500,26,0.93,0.347,0.93,0.314,0.0,0.0824,-11.027,0.462,120.025,4
17,Woman,Planet Her,Doja Cat,2021-06-25,172626,94,0.824,0.0888,0.824,0.764,0.00294,0.117,-4.175,0.0854,107.998,4
18,You asked for this,"If I Can’t Have Love, I Want Power",Halsey,2021-08-27,265520,71,0.303,0.0115,0.303,0.812,0.0,0.371,-4.95,0.0557,139.052,4
19,Already Won (feat. Lil Durk),SoulFly (Deluxe Version),Rod Wave,2021-08-20,212063,71,0.321,0.0668,0.321,0.525,0.0,0.137,-9.891,0.131,75.774,4
20,Bash money (feat. Lil Wayne),Hitler Wears Hermes 8: Sincerely Adolf,Westside Gunn,2021-08-27,147121,58,0.441,0.0661,0.441,0.469,0.103,0.137,-11.868,0.159,76.346,4
21,Jugaste y Sufrí,Corta Venas,Eslabon Armado,2020-12-18,275194,82,0.39,0.632,0.39,0.499,0.000497,0.115,-7.778,0.0381,200.156,1
22,Chanel Bag (Remix),Chanel Bag (Remix),KillBunk,2021-08-16,249547,60,0.78,0.0714,0.78,0.564,0.0,0.0823,-8.009,0.108,115.043,4
23,Sunshine,Mother,Cleo Sol,2021-08-20,262960,47,0.626,0.623,0.626,0.265,0.0689,0.125,-15.297,0.0738,86.106,4
