,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Somebody Told Me,Hot Fuss,The Killers,2004-06-15,197160,65,0.509,8.05e-05,0.509,0.987,0.000928,0.119,-3.198,0.0886,138.039,4
1,Everlong,The Colour And The Shape,Foo Fighters,1997-05-20,250546,77,0.413,5.99e-05,0.413,0.881,0.000308,0.0805,-5.541,0.0367,158.066,4
2,Semi-Charmed Life,Third Eye Blind,Third Eye Blind,1997-04-08,268360,73,0.64,0.00832,0.64,0.864,0.0,0.123,-6.576,0.0314,102.026,4
3,The Middle,Bleed American (Deluxe Edition),Jimmy Eat World,2001,168253,6,0.629,0.0424,0.629,0.897,0.0,0.263,-3.401,0.0483,161.944,4
4,Float On,Good News For People Who Love Bad News,Modest Mouse,2004-04-05,208466,70,0.649,0.013,0.649,0.888,2.23e-06,0.0888,-4.807,0.0293,100.975,4
5,When You Were Young,Sam's Town,The Killers,2006-09-27,220426,74,0.467,0.000152,0.467,0.988,0.0484,0.28,-3.313,0.112,130.433,4
6,Lazy Eye,The Singles Collection,Silversun Pickups,2014-02-25,354360,50,0.633,0.0401,0.633,0.831,0.693,0.117,-5.053,0.0461,127.397,4
7,Soul Meets Body,Plans,Death Cab for Cutie,2005-08-29,230906,55,0.63,0.124,0.63,0.772,0.000432,0.116,-8.366,0.0251,128.133,4
8,"Steady, As She Goes",Broken Boy Soldiers,The Raconteurs,2006,215293,0,0.53,0.00882,0.53,0.601,0.0211,0.083,-4.364,0.112,123.009,4
9,Ain't No Rest for the Wicked,Cage The Elephant,Cage The Elephant,2009-03-27,175493,0,0.634,0.0438,0.634,0.849,0.0,0.363,-7.075,0.105,156.004,4
10,Today - 2011 Remaster,Siamese Dream (Deluxe Edition),The Smashing Pumpkins,1993,201173,63,0.456,3.35e-05,0.456,0.826,0.57,0.0548,-7.611,0.0268,82.539,4
11,Take Me Out,Franz Ferdinand,Franz Ferdinand,2004,237026,10,0.278,0.000423,0.278,0.676,0.000899,0.136,-8.821,0.0371,104.545,4
12,Sweetness,Bleed American,Jimmy Eat World,2001-01-01,220026,0,0.491,0.00407,0.491,0.888,0.0,0.286,-4.412,0.038,135.253,4
13,Beverly Hills,Make Believe,Weezer,2005-05-10,196093,70,0.693,0.0932,0.693,0.823,0.0,0.328,-3.761,0.0726,87.904,4
14,Mr. Brightside,Hot Fuss,The Killers,2004-06-15,222586,74,0.356,0.00101,0.356,0.924,0.0,0.0953,-3.74,0.0808,148.017,4
15,Cigarette Daydreams,Melophobia,Cage The Elephant,2013-10-08,208760,16,0.636,0.0807,0.636,0.676,0.0,0.0831,-3.442,0.0263,113.98,4
16,1901,Wolfgang Amadeus Phoenix,Phoenix,2009-01-01,193106,0,0.604,0.0564,0.604,0.825,5.8e-05,0.192,-5.373,0.0429,144.085,4
17,The Distance,Fashion Nugget,Cake,1996-09-17,179653,62,0.463,0.00796,0.463,0.749,0.00219,0.0558,-8.118,0.0891,183.048,4
18,Left Hand Free,This Is All Yours,alt-J,2014-09-22,173630,69,0.697,0.462,0.697,0.877,0.00943,0.083,-4.465,0.0462,101.99,4
19,1979 - Remastered 2012,Mellon Collie And The Infinite Sadness (Deluxe Edition),The Smashing Pumpkins,1995,266200,74,0.767,0.0163,0.767,0.787,0.583,0.0513,-9.897,0.0331,126.879,4
20,"Sugar, We're Goin Down",From Under The Cork Tree,Fall Out Boy,2005-01-01,229093,0,0.494,0.00579,0.494,0.841,0.0,0.122,-4.784,0.0838,162.013,4
21,Elderly Woman Behind the Counter in a Small Town (Remastered),Vs.,Pearl Jam,1993-10-19,196186,61,0.291,0.0519,0.291,0.493,9.15e-06,0.101,-9.461,0.028,182.032,3
22,Fell In Love With A Girl,White Blood Cells,The White Stripes,2001-07-03,110093,0,0.235,0.676,0.235,0.977,0.000249,0.8,-1.606,0.141,91.929,4
23,What I Got,Sublime,Sublime,1996-07-30,170906,72,0.804,0.00877,0.804,0.696,0.000985,0.314,-7.47,0.0899,95.721,4
24,Cold Hard Bitch,Get Born,Jet,2003-09-15,243200,60,0.458,0.000219,0.458,0.895,0.000394,0.106,-3.972,0.0681,130.327,4
25,Last Nite,Is This It,The Strokes,2001-07-30,193373,64,0.624,0.0221,0.624,0.899,0.000137,0.0975,-5.709,0.0296,104.061,4
26,All Apologies,In Utero - 20th Anniversary Remaster,Nirvana,1993-09-21,233173,68,0.446,0.0793,0.446,0.632,0.000266,0.0881,-12.197,0.034,113.176,4
27,Misery Business,Riot!,Paramore,2007-06-11,211520,75,0.517,0.00272,0.517,0.906,9.26e-06,0.113,-3.677,0.0735,172.977,4
28,Santeria,Sublime,Sublime,1996-07-30,182746,75,0.682,0.0268,0.682,0.765,3.42e-05,0.188,-5.021,0.0395,90.807,4
29,No One Knows,Songs For The Deaf,Queens of the Stone Age,2002,278706,64,0.507,0.0359,0.507,0.588,0.000129,0.373,-4.881,0.0641,170.889,4
30,I Believe in a Thing Called Love,Permission to Land,The Darkness,2003-07-07,217653,68,0.442,0.0538,0.442,0.846,4.71e-06,0.282,-5.214,0.0764,128.235,4
31,Electric Feel,Oracular Spectacular,MGMT,2007-12-14,229640,76,0.763,0.0709,0.763,0.803,0.285,0.348,-3.713,0.0351,103.04,3
32,Cough Syrup,Young The Giant (Special Edition),Young the Giant,2011,249520,70,0.534,0.0343,0.534,0.721,6.24e-06,0.115,-7.307,0.0417,128.978,3
33,Jane Says,Nothing's Shocking,Jane's Addiction,1988-08-23,287000,64,0.402,0.0385,0.402,0.597,2.09e-06,0.109,-9.258,0.0327,81.806,4
34,Are You Gonna Be My Girl,Get Born,Jet,2003-09-15,213800,74,0.613,0.00148,0.613,0.953,0.000582,0.152,-3.435,0.0855,105.046,4
35,Scar Tissue,Californication (Deluxe Edition),Red Hot Chili Peppers,1999-06-08,215906,76,0.595,0.0779,0.595,0.717,0.00274,0.108,-4.803,0.0295,88.969,4
