,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Collide,10 Years From Now / Collide,Made in Paris,2021-09-16,275369,3,0.667,0.355,0.667,0.612,0.72,0.093,-14.007,0.0364,125.997,4
1,A Matter of Time,A Matter Of Time,Ben Böhmer,2021-09-15,235586,37,0.578,0.00447,0.578,0.849,0.922,0.125,-7.669,0.0329,134.006,4
2,Twisted Reality - Edit,Twisted Reality (Edit),Boris Brejcha,2021-09-17,207360,0,0.686,0.00281,0.686,0.662,0.886,0.122,-12.405,0.0438,125.004,4
3,Go,Go Re Nue EP,Super Flu,2021-09-17,480000,0,0.769,0.00305,0.769,0.656,0.838,0.625,-10.663,0.0577,121.014,4
4,Sanba Yo Pran Pale - DJ Koze Remix,Sanba Yo Pran Pale (DJ Koze Remix),Lakou Mizik,2021-09-14,647800,0,0.793,0.00617,0.793,0.679,0.277,0.0318,-8.307,0.0487,117.996,4
5,Intentional Dweeb,Intentional Dweeb,MEUTE,2021-09-15,225857,28,0.779,0.22,0.779,0.504,0.81,0.129,-11.911,0.0731,127.967,4
6,Thinking About You - Radio Slave feat. Thomas Gandey Remix,Thinking About You,Sailor & I,2021-09-17,470580,0,0.89,0.0108,0.89,0.541,0.847,0.0839,-11.018,0.0782,125.015,4
7,String Me Along (feat. Ira Atari),String Me Along (feat. Ira Atari),Kalipo,2021-09-17,293240,0,0.726,0.00271,0.726,0.64,0.759,0.104,-11.021,0.0456,116.006,4
8,Gummihammer,KOMMIT,Der Dritte Raum,2021-09-17,407419,0,0.809,0.0243,0.809,0.867,0.866,0.671,-8.176,0.0661,123.014,4
9,Tighter (feat. Jalja) - CamelPhat Remix,Tighter (feat. Jalja) [CamelPhat Remix],HOSH,2021-09-17,234312,0,0.647,0.00133,0.647,0.937,0.0292,0.131,-6.008,0.0366,125.016,4
10,Woman,Woman,Nico de Andrea,2021-09-17,214167,0,0.588,0.0158,0.588,0.81,0.0353,0.0845,-8.663,0.0517,118.012,4
11,Fener - Bebetta Remix,Selected Reworks,Steve Parry,2021-09-17,456000,0,0.64,0.00572,0.64,0.711,0.848,0.672,-12.107,0.0545,121.995,4
12,Beyond,Beyond,Teho,2021-09-17,324000,0,0.58,0.0167,0.58,0.633,0.894,0.0663,-8.272,0.0316,119.948,4
13,Pidgeons - Fka Mash Glitch Dub,Pidgeons (Fka Mash Glitch Dub),Stimming,2021-09-17,377109,0,0.803,0.0388,0.803,0.626,0.752,0.142,-12.361,0.0487,113.992,4
14,Starlight,Starlight / Overdrive,Sam Paganini,2021-09-17,424870,0,0.686,0.0235,0.686,0.545,0.896,0.0983,-11.226,0.0681,130.002,4
15,Cuckoo,Cuckoo,Sven Tasnadi,2021-09-16,416102,0,0.795,0.000325,0.795,0.799,0.839,0.0863,-8.839,0.0419,124.989,4
16,Peer Gynt,Peer Gynt,Stefan Obermaier,2021-09-17,320791,0,0.616,0.00386,0.616,0.759,0.906,0.0977,-10.058,0.0366,113.009,4
17,Sunrays,Sunrays,AK,2021-09-17,231120,0,0.741,0.518,0.741,0.421,0.92,0.129,-12.463,0.0763,124.986,4
18,Sport Casino,Sport Casino,Kid Simius,2021-09-17,399626,0,0.77,0.157,0.77,0.881,0.895,0.0393,-10.236,0.081,121.986,4
19,Kilian,Kilian,Rodriguez Jr.,2021-09-10,420115,43,0.691,0.0019,0.691,0.804,0.821,0.0994,-9.402,0.0382,125.005,4
20,What You Like,What You Like,Logic1000,2021-09-09,193893,47,0.794,0.0398,0.794,0.543,0.783,0.0858,-9.63,0.0519,124.009,4
21,Restless Mind,Restless Mind,Armen Miran,2021-09-10,464132,39,0.803,0.119,0.803,0.576,0.573,0.0698,-9.093,0.0482,121.015,4
22,Don't Hold Back - Edit,Don't Hold Back (Edit),Monolink,2021-09-10,270539,48,0.613,0.0095,0.613,0.736,0.711,0.151,-11.947,0.0391,119.994,4
23,Feiern - Radio Edit,Feiern,Sven Väth,2021-09-10,230683,38,0.563,0.00016,0.563,0.65,0.89,0.11,-9.939,0.0394,127.999,4
24,Black Hole,Black Hole,Mario Ochoa,2021-09-24,418646,40,0.587,0.0253,0.587,0.927,0.808,0.114,-12.037,0.0687,133.031,4
