,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Baby Shark,Pinkfong Presents: The Best of Baby Shark,Pinkfong,2018-11-30,84156,49,0.825,0.272,0.825,0.828,0.0,0.053,-4.887,0.139,115.045,4
1,Dance Monkey,Dance Monkey (Stripped Back) / Dance Monkey,Tones And I,2019-10-17,209438,80,0.824,0.692,0.824,0.588,0.000104,0.149,-6.4,0.0924,98.027,4
2,"All I Want - From ""High School Musical: The Musical: The Series""","All I Want (From ""High School Musical: The Musical: The Series"")",Olivia Rodrigo,2019-11-27,177322,75,0.376,0.0902,0.376,0.43,0.0,0.0912,-6.585,0.0328,77.599,3
3,The Other Side (from Trolls World Tour),The Other Side (from Trolls World Tour),SZA,2020-02-26,188186,66,0.76,0.00277,0.76,0.607,0.0,0.132,-6.274,0.0964,105.979,4
4,Say So,Say So,Kidz Bop Kids,2020-07-10,187039,52,0.793,0.0677,0.793,0.715,0.000109,0.116,-4.514,0.0387,110.925,4
5,Dynamite,BE,BTS,2020-11-20,199053,86,0.746,0.0112,0.746,0.765,0.0,0.0936,-4.41,0.0993,114.044,4
6,Don't Start Now,Don't Start Now,Kidz Bop Kids,2020-03-06,184000,47,0.752,0.0515,0.752,0.794,1.08e-06,0.0625,-5.469,0.0641,123.987,4
7,The Git Up,Honeysuckle & Lightning Bugs,Blanco Brown,2019-10-10,200593,71,0.847,0.0669,0.847,0.678,0.0,0.274,-8.635,0.109,97.984,4
8,Get The Party Started - Redo Version,Get The Party Started (Redo Version),Kidz Bop Kids,2021-03-05,193133,1,0.641,4.21e-05,0.641,0.963,0.000668,0.494,-3.761,0.0457,128.949,4
9,Good 4 U,Good 4 U,Kidz Bop Kids,2021-08-13,166453,52,0.553,0.00756,0.553,0.704,2.95e-05,0.0939,-4.866,0.125,167.803,4
10,Butter,Butter,Kidz Bop Kids,2021-09-03,166026,43,0.843,0.000388,0.843,0.657,0.0,0.0364,-4.735,0.133,110.004,4
11,Rain On Me,Rain On Me,Kidz Bop Kids,2020-08-14,184466,51,0.716,0.00219,0.716,0.945,0.0,0.302,-3.414,0.0511,123.009,4
12,Save Your Tears,Save Your Tears,Kidz Bop Kids,2021-07-23,210492,44,0.755,7.63e-05,0.755,0.939,0.00096,0.13,-5.624,0.0397,118.062,4
13,Just Sing,TROLLS World Tour (Original Motion Picture Soundtrack),TROLLS World Tour,2020-03-13,221480,51,0.747,0.101,0.747,0.612,0.0,0.459,-5.658,0.0819,106.114,4
14,Dance Through the Day,The J Team (Original Motion Picture Soundtrack),JoJo Siwa,2021-08-27,155657,45,0.716,0.0147,0.716,0.808,0.0,0.158,-5.231,0.0496,142.917,4
15,Glowin' Up - from the Netflix film My Little Pony: A New Generation,"Glowin' Up (from the Netflix film ""My Little Pony: A New Generation"")",Sofia Carson,2021-09-03,191094,45,0.702,0.206,0.702,0.7,1.09e-06,0.259,-4.996,0.0551,114.973,4
16,Kings & Queens,KIDZ BOP 2021,Kidz Bop Kids,2020-10-23,146233,40,0.746,0.014,0.746,0.793,0.0,0.076,-4.106,0.0468,129.985,4
17,Trampoline,Trampoline,Kidz Bop Kids,2020-06-19,185092,46,0.7,0.134,0.7,0.453,3.87e-05,0.274,-7.234,0.03,126.483,4
