,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Linea Degli Alberi,Linea Degli Alberi,Giulia De Serio,2021-07-29,236258,62,0.106,0.988,0.106,0.0107,0.937,0.107,-32.192,0.0393,70.911,3
1,Paper Life,Paper Life,Cloud Beings,2021-08-22,196000,50,0.18,0.971,0.18,0.00981,0.867,0.108,-34.129,0.0481,66.807,4
2,Lugnet,Lugnet,Najma Wallin,2020-08-14,159500,58,0.0651,0.944,0.0651,0.0163,0.898,0.108,-33.757,0.0546,71.289,4
3,Spaces,Shimmer,Spirit Minds,2019-09-07,207000,62,0.22,0.986,0.22,0.0514,0.897,0.129,-25.116,0.0445,80.671,4
4,Alone Again,"As Above, So Below",Polar Moon,2020-07-01,122000,50,0.185,0.985,0.185,0.0371,0.943,0.0966,-25.947,0.0382,70.391,5
5,Pampus,Pampus,Dardan Leistra,2020-03-27,206000,60,0.175,0.984,0.175,0.0475,0.971,0.0917,-29.131,0.0534,122.427,3
6,Rêvasseur,Rêvasseur,Charmaine D'Avis,2020-01-24,203500,55,0.176,0.979,0.176,0.0244,0.864,0.0881,-32.609,0.0391,64.747,4
7,Soledad natural,Soledad natural (Ambient version),Sonhos de Solidão,2021-04-07,155030,53,0.224,0.989,0.224,0.0195,0.959,0.0982,-25.571,0.0383,106.306,4
8,Buonanotte e sogni d’oro,Buonanotte e sogni d’oro,Artemio Li Fonti,2019-11-15,224000,56,0.211,0.98,0.211,0.0106,0.842,0.0934,-30.884,0.0387,67.363,4
9,Rebirth,Rebirth,Arush Mandal,2021-08-23,204522,45,0.189,0.939,0.189,0.00345,0.957,0.0995,-32.063,0.0468,77.144,5
10,Gentle Words,Gentle Words,Sperenza,2021-08-30,243600,61,0.0773,0.978,0.0773,0.0117,0.931,0.106,-35.642,0.0414,72.98,3
11,Somnolence,Somnolence,Zak Brady,2020-01-24,192500,53,0.165,0.982,0.165,0.00847,0.863,0.0983,-33.25,0.0419,71.749,4
12,Wanderstar,Aphelion,Amel Scott,2021-09-08,160511,45,0.271,0.988,0.271,0.045,0.843,0.108,-30.262,0.0417,71.13,4
13,Piece of me,Piece of me,Orchid Rain,2021-09-12,183445,44,0.281,0.996,0.281,0.00544,0.943,0.0969,-35.44,0.0411,73.993,4
14,Yana,Yana,LOVIS,2021-01-01,194500,52,0.0781,0.975,0.0781,0.00679,0.926,0.114,-36.195,0.0474,81.967,3
15,Padjelanta,Sarek,Laponia,2019-09-06,164250,52,0.222,0.982,0.222,0.023,0.857,0.0871,-28.302,0.0396,67.266,3
16,Dolce Far Niente,Dolce Far Niente,Heddwch,2019-12-20,132000,52,0.467,0.981,0.467,0.0326,0.879,0.0971,-23.039,0.0475,74.116,4
17,Suilven,Suilven,Keeva Craig,2021-01-01,238000,54,0.105,0.993,0.105,0.00306,0.798,0.119,-36.793,0.041,70.214,4
18,Peace,Peace,Johann Eder,2019-07-13,182619,55,0.166,0.954,0.166,0.149,0.857,0.101,-22.797,0.0556,93.895,4
19,Honouring the Promise,Honouring the Promise,Benjin Blund,2021-06-07,209381,49,0.274,0.96,0.274,0.0271,0.906,0.109,-27.137,0.0318,97.035,4
20,Notte,Notte,Scintillante,2019-05-10,199750,54,0.224,0.992,0.224,0.00828,0.875,0.0996,-31.722,0.0366,78.001,4
21,Through Your Eyes,Through Your Eyes,Don Mazuck,2021-04-22,169412,62,0.149,0.981,0.149,0.0565,0.903,0.11,-26.842,0.0499,69.686,5
22,Starlight,Eclipse,Indra Jamal,2021-06-29,201558,48,0.172,0.977,0.172,0.00743,0.979,0.153,-33.268,0.0518,121.145,4
23,Hibernation,Hibernation,Nova Issue,2021-06-07,209181,65,0.0824,0.923,0.0824,0.0428,0.942,0.095,-28.455,0.0458,82.412,4
24,Assonnato,Assonnato,Rebekah Bolton,2020-11-27,184000,54,0.0792,0.983,0.0792,0.00755,0.81,0.0964,-34.215,0.04,72.227,3
25,Hopeful,Hopeful,Unwritten Skies,2021-03-04,162782,64,0.163,0.987,0.163,0.0094,0.874,0.104,-33.708,0.0354,72.478,3
26,Covering the Sun,Ivory Clouds,Sleepy Clouds,2020-11-16,193706,65,0.16,0.98,0.16,0.0125,0.956,0.122,-30.44,0.036,66.597,4
27,Voordat Je Gaat,Voordat Je Gaat,Ebba Dekker,2021-07-01,188673,56,0.137,0.979,0.137,0.00588,0.876,0.114,-36.766,0.0414,142.592,4
28,Luna’s Ways,Luna’s Ways,Author S,2021-06-15,165000,47,0.401,0.956,0.401,0.0102,0.842,0.105,-27.712,0.0328,62.01,3
29,Out of time,Out of time,Stray Winds,2020-11-26,209578,54,0.492,0.935,0.492,0.0337,0.865,0.109,-28.948,0.0322,100.017,4
30,Wings Of Sound,Wings Of Sound,Kumatra,2020-12-18,156250,47,0.228,0.985,0.228,0.00467,0.884,0.139,-35.626,0.0425,69.824,4
31,Lago de Atitlán,Lago de Atitlán,Scarlet Becker,2020-12-18,192250,52,0.155,0.917,0.155,0.0327,0.677,0.0898,-28.293,0.0422,135.575,5
32,Translucence,Translucence,Megan Wofford,2021-06-04,160000,47,0.256,0.909,0.256,0.236,0.838,0.0967,-21.713,0.0431,60.583,4
33,Room For Thoughs,Room For Thoughs,Inessa Merton,2021-09-02,170689,42,0.258,0.941,0.258,0.0909,0.92,0.088,-26.255,0.0453,85.956,4
34,Beatific,Beatific,Caius Biel,2021-06-03,196112,66,0.148,0.968,0.148,0.00832,0.859,0.09,-35.787,0.0396,69.787,4
35,Dormiveglia,Dormiveglia,Christine Papst,2021-07-16,201000,48,0.16,0.976,0.16,0.00759,0.873,0.112,-34.181,0.0417,67.026,3
36,Nightfall,Nightfall,Zahra Tate,2021-09-03,195000,47,0.136,0.882,0.136,0.0131,0.689,0.0996,-33.232,0.049,142.629,4
37,Lucerne,Lucerne,Lorah Weber,2020-12-18,197374,54,0.152,0.994,0.152,0.00429,0.88,0.109,-35.19,0.0439,137.327,5
38,No One Knows,No One Knows,Geneva Semere,2021-05-14,194250,55,0.14,0.971,0.14,0.00293,0.857,0.113,-33.858,0.051,83.605,3
39,Muer,Muer,Emmeline Ralph,2020-12-18,213250,56,0.178,0.94,0.178,0.00853,0.768,0.114,-33.508,0.0401,68.81,4
40,Calming Tune,Feel a Sense,Butterfly Wings,2021-06-20,198750,47,0.222,0.972,0.222,0.0116,0.896,0.112,-36.371,0.0357,72.608,3
41,Calibration of Time,Calibration of Time,Sleep Lab,2021-06-07,200379,64,0.0869,0.959,0.0869,0.0303,0.926,0.11,-33.156,0.0401,84.063,4
42,Farscapes,Farscapes,Milan Moux,2021-06-28,179431,46,0.204,0.991,0.204,0.00607,0.864,0.1,-33.365,0.0412,72.693,5
43,Večeras,Večeras,Judi Khan,2020-11-20,185000,65,0.154,0.984,0.154,0.00356,0.801,0.0981,-36.026,0.0421,70.616,4
44,Dark Lights,Dark Lights,Emmitt Howard,2021-02-26,157250,64,0.0715,0.994,0.0715,0.00962,0.923,0.118,-31.935,0.0424,78.147,3
45,Calm Embrace,Calm Embrace,Esa Plant,2021-06-06,176540,63,0.0605,0.896,0.0605,0.0484,0.932,0.104,-31.737,0.0536,58.975,4
