song,artist
bad day,daniel powter
temperature,sean paul
promiscuous,nelly furtado featuring timbaland
you're beautiful,james blunt
hips don't lie,shakira featuring wyclef jean
unwritten,natasha bedingfield
crazy,gnarls barkley
ridin',chamillionaire featuring krayzie bone
sexyback,justin timberlake
check on it,beyonce featuring slim thug
be without you,mary j. blige
grillz,"nelly featuring paul wall, ali & gipp"
over my head (cable car),the fray
me & u,cassie
buttons,the pussycat dolls featuring snoop dogg
run it!,chris brown
so sick,ne-yo
it's goin' down,yung joc
sos,rihanna
i write sins not tragedies,panic! at the disco
move along,the all-american rejects
london bridge,fergie
dani california,red hot chili peppers
snap yo fingers,lil jon featuring e-40 & sean paul of the youngbloodz
"lean wit it, rock wit it",dem franchize boyz featuring lil peanut & charlay
what hurts the most,rascal flatts
how to save a life,the fray
unfaithful,rihanna
chasing cars,snow patrol
lips of an angel,hinder
everytime we touch,cascada
ain't no other man ,christina aguilera
"dance, dance",fall out boy
gold digger,kanye west featuring jamie foxx
money maker,ludacris featuring pharrell
ms. new booty,bubba sparxxx featuring ying yang twins & mr. collipark
(when you gonna) give it up to me,sean paul featuring keyshia cole
photograph,nickelback
because of you,kelly clarkson
stickwitu,the pussycat dolls
i'm n luv (wit a stripper),t-pain featuring mike jones
my humps,the black eyed peas
where'd you go,fort minor featuring holly brook
yo (excuse me miss),chris brown
walk away,kelly clarkson
laffy taffy,d4l
what you know,t.i.
dirty little secret,the all-american rejects
savin' me,nickelback
don't forget about us,mariah carey
sexy love,ne-yo
u and dat,e-40 featuring t-pain & kandi girl
far away,nickelback
what's left of me,nick lachey
so what,field mob featuring ciara
do it to it,cherish featuring sean paul of the youngbloodz
black horse & the cherry tree,kt tunstall
there it go! (the whistle song),juelz santana
shoulder lean,young dro featuring t.i.
unpredictable,jamie foxx featuring ludacris
my love,justin timberlake featuring t.i.
shake that,eminem featuring nate dogg
pullin' me back,chingy featuring tyrese
bossy,kelis featuring too $hort
chain hang low,jibbs
smack that,akon featuring eminem
one wish,ray j
"sugar, we're goin' down",fall out boy
gimme that,chris brown featuring lil wayne
i know you see it,yung joc featuring brandy 'ms. b.' hambrick
who says you can't go home,bon jovi
too little too late,jojo
touch it,busta rhymes
rompe,daddy yankee
deja vu,beyonce featuring jay z
life is a highway,rascal flatts
call me when you're sober,evanescence
"jesus, take the wheel",carrie underwood
show stopper,danity kane
get up,ciara featuring chamillionaire
we be burnin',sean paul
hate me,blue october
you and me,lifehouse
beep,the pussycat dolls featuring will.i.am
i think they like me,"dem franchize boyz featuring jermaine dupri, da brat & bow wow"
say goodbye,chris brown
waiting on the world to change,john mayer
soul survivor,young jeezy featuring akon
pump it,the black eyed peas
when i'm gone,eminem
hung up,madonna
stay fly,three 6 mafia featuring young buck & eightball & mjg
love,keyshia cole
when you're mad,ne-yo
why you wanna,t.i.
stupid girls,p!nk
feel good inc,gorillaz
i'm sprung,t-pain
do i make you proud,taylor hicks
for you i will (confidence),teddy geiger
irreplaceable,beyonce
umbrella,rihanna featuring jay-z
the sweet escape,gwen stefani featuring akon
big girls don't cry,fergie
buy u a drank (shawty snappin'),t-pain featuring yung joc
before he cheats,carrie underwood
hey there delilah,plain white t's
i wanna love you,akon featuring snoop dogg
say it right,nelly furtado
glamorous,fergie featuring ludacris
don't matter,akon
girlfriend,avril lavigne
makes me wonder,maroon 5
party like a rockstar,shop boyz
smack that,akon featuring eminem
this is why i'm hot,mims
it's not over,daughtry
the way i are,timbaland featuring keri hilson
fergalicious,fergie
crank that (soulja boy),soulja boy tell'em
give it to me,timbaland featuring nelly furtado & justin timberlake
what goes around...comes around,justin timberlake
cupid's chokehold/breakfast in america,gym class heroes featuring patrick stump
how to save a life,the fray
home,daughtry
my love,justin timberlake featuring t.i.
stronger, kanye west
we fly high,jim jones
u + ur hand,p!nk
walk it out,unk
beautiful girls,sean kingston
"this ain't a scene, it's an arms race",fall out boy
bartender,t-pain featuring akon
"pop, lock & drop it",huey
runaway love,ludacris featuring mary j. blige 
rockstar,nickelback
thnks fr th mmrs,fall out boy
what i've done,linkin park
summer love,justin timberlake
you,lloyd featuring lil wayne
wait for you,elliott yamin
last night,diddy featuring keyshia cole
make it rain,fat joe featuring lil wayne
make me better,fabolous featuring ne-yo
ice box,omarion
lips of an angel,hinder
waiting on the world to change,john mayer
lost without u,robin thicke
i'm a flirt,r. kelly or bow wow (featuring t.i. & t-pain)
if everyone cared,nickelback
get it shawty,lloyd
face down,the red jumpsuit apparatus
the way i live,baby boy da prince featuring lil boosie
shortie like mine,bow wow featuring chris brown & johnta austin
it ends tonight,the all-american rejects
a bay bay,hurricane chris
because of you,ne-yo
i tried,bone thugs-n-harmony featuring akon
welcome to the black parade,my chemical romance
shawty,plies featuring t-pain
